timestamp_utc,host_cpu_pct,host_memory_used_mib,host_memory_pct,container_name,container_cpu_pct,container_memory_mib
2026-09-02T07:59:40.279498+00:00,0.0,19416.652,59.6,teachplatform-mysql,0.43,372.4
2026-09-02T07:59:43.386029+00:00,18.9,19438.059,59.7,teachplatform-mysql,0.42,372.4
2026-09-02T07:59:46.503375+00:00,17.2,19467.98,59.8,teachplatform-mysql,0.42,372.7
2026-09-02T07:59:49.615784+00:00,19.5,19469.367,59.8,teachplatform-mysql,0.41,372.6
2026-09-02T07:59:52.725031+00:00,21.2,19494.453,59.9,teachplatform-mysql,0.44,372.4
2026-09-02T07:59:55.834535+00:00,23.2,19492.348,59.9,teachplatform-mysql,0.43,372.4
2026-09-02T07:59:58.936260+00:00,19.8,19494.723,59.9,teachplatform-mysql,0.48,372.4
2026-09-02T08:00:02.038054+00:00,22.6,19460.852,59.8,teachplatform-mysql,0.45,372.4
2026-09-02T08:00:05.137306+00:00,22.2,19455.102,59.8,teachplatform-mysql,0.45,372.4
2026-09-02T08:00:08.032270+00:00,22.2,19456.289,59.8,teachplatform-mysql,0.49,372.4
2026-09-02T08:00:11.138502+00:00,23.8,19443.285,59.7,teachplatform-mysql,0.47,372.4
