timestamp_utc,host_cpu_pct,host_memory_used_mib,host_memory_pct,container_name,container_cpu_pct,container_memory_mib
2026-09-02T07:56:50.438423+00:00,0.0,19236.094,59.1,teachplatform-mysql,3.07,365.5
2026-09-02T07:56:53.540552+00:00,17.0,19269.617,59.2,teachplatform-mysql,0.42,365.1
2026-09-02T07:56:56.537328+00:00,17.0,19257.406,59.1,teachplatform-mysql,0.44,365.1
2026-09-02T07:56:59.636643+00:00,15.7,19245.344,59.1,teachplatform-mysql,19.22,372.0
2026-09-02T07:57:02.754959+00:00,38.7,19271.902,59.2,teachplatform-mysql,169.65,372.2
2026-09-02T07:57:05.887663+00:00,42.0,19275.242,59.2,teachplatform-mysql,168.65,372.2
2026-09-02T07:57:09.008433+00:00,41.2,19275.812,59.2,teachplatform-mysql,170.5,372.3
2026-09-02T07:57:12.122465+00:00,34.9,19278.297,59.2,teachplatform-mysql,170.63,372.3
2026-09-02T07:57:15.270946+00:00,34.1,19278.289,59.2,teachplatform-mysql,171.83,372.3
2026-09-02T07:57:18.162425+00:00,31.0,19274.918,59.2,teachplatform-mysql,170.44,372.3
2026-09-02T07:57:21.274388+00:00,31.8,19271.367,59.2,teachplatform-mysql,0.48,372.5
