timestamp_utc,host_cpu_pct,host_memory_used_mib,host_memory_pct,container_name,container_cpu_pct,container_memory_mib
2026-09-02T07:55:17.714463+00:00,37.5,18806.777,57.8,teachplatform-mysql,0.45,364.7
2026-09-02T07:55:20.817977+00:00,19.6,18925.215,58.1,teachplatform-mysql,0.45,364.4
2026-09-02T07:55:23.920339+00:00,21.7,18986.695,58.3,teachplatform-mysql,3.17,364.4
2026-09-02T07:55:26.813610+00:00,20.1,19068.133,58.6,teachplatform-mysql,3.87,365.2
2026-09-02T07:55:29.909027+00:00,33.7,19076.945,58.6,teachplatform-mysql,4.54,364.9
2026-09-02T07:55:33.045680+00:00,47.3,19067.527,58.6,teachplatform-mysql,8.47,365.7
2026-09-02T07:55:36.175781+00:00,44.2,19075.344,58.6,teachplatform-mysql,4.27,365.2
2026-09-02T07:55:39.297695+00:00,45.4,19078.531,58.6,teachplatform-mysql,4.43,365.2
2026-09-02T07:55:42.417117+00:00,45.7,19079.184,58.6,teachplatform-mysql,3.98,365.2
2026-09-02T07:55:45.538330+00:00,43.4,19088.125,58.6,teachplatform-mysql,3.76,365.4
